"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","QGDP","TOT","PC_CHGPP","A","1961",5.554,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1962",2.617117,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1963",4.154318,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1964",6.181948,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1965",3.437163,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1966",4.996132,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1967",2.382402,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1968",4.444143,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1969",5.851776,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1970",7.761315,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1971",5.112069,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1972",6.209405,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1973",4.886809,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1974",3.943591,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1975",-0.362596,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1976",4.576718,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1977",4.676807,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1978",-0.362357,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1979",5.45457,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1980",2.313919,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1981",-0.099385,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1982",1.907811,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1983",2.804445,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1984",0.331588,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1985",2.243365,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1986",2.340519,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1987",1.680468,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1988",3.166391,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1989",3.887072,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1990",4.345638,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1991",3.441636,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1992",2.093529,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1993",0.526807,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1994",2.402122,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1995",2.667984,"E"
"AUT","QGDP","TOT","PC_CHGPP","A","1996",2.466644,
"AUT","QGDP","TOT","PC_CHGPP","A","1997",2.093598,
"AUT","QGDP","TOT","PC_CHGPP","A","1998",3.581419,
"AUT","QGDP","TOT","PC_CHGPP","A","1999",3.556336,
"AUT","QGDP","TOT","PC_CHGPP","A","2000",3.375722,
"AUT","QGDP","TOT","PC_CHGPP","A","2001",1.267172,
"AUT","QGDP","TOT","PC_CHGPP","A","2002",1.651554,
"AUT","QGDP","TOT","PC_CHGPP","A","2003",0.941472,
"AUT","QGDP","TOT","PC_CHGPP","A","2004",2.735123,
"AUT","QGDP","TOT","PC_CHGPP","A","2005",2.244069,
"AUT","QGDP","TOT","PC_CHGPP","A","2006",3.454039,
"AUT","QGDP","TOT","PC_CHGPP","A","2007",3.727419,
"AUT","QGDP","TOT","PC_CHGPP","A","2008",1.460426,
"AUT","QGDP","TOT","PC_CHGPP","A","2009",-3.76458,
"AUT","QGDP","TOT","PC_CHGPP","A","2010",1.837096,
"AUT","QGDP","TOT","PC_CHGPP","A","2011",2.922796,
"AUT","QGDP","TOT","PC_CHGPP","A","2012",0.680442,
"AUT","QGDP","TOT","PC_CHGPP","A","2013",0.025505,
"AUT","QGDP","TOT","PC_CHGPP","A","2014",0.661271,
"AUT","QGDP","TOT","PC_CHGPP","A","2015",1.142978,
"AUT","QGDP","TOT","PC_CHGPP","A","2016",2.039575,
"AUT","QGDP","TOT","PC_CHGPP","A","2017",2.550882,
"AUT","QGDP","TOT","PC_CHGPP","A","2018",2.733286,
"AUT","QGDP","TOT","PC_CHGPY","Q","1961-Q1",8.008101,"E"
